id,square,occurrence,data
898,34UED1,post70_1,1
899,34UED2,post70_1,1
900,34UED3,post70_1,1
901,34UED4,post70_1,1
902,34UEE1,post70_1,1
903,34UEE2,post70_1,1
904,34UEE3,pre70_1,2
905,34UEE4,pre70_1,2
906,34UEF1,post70_1,1
907,34UEF2,post70_1,1
908,34UEF3,post70_1,1
909,34UEF4,post70_1,1
910,34UEG1,post70_1,1
911,34UEG2,post70_1,1
912,34UEG3,post70_1,1
913,34UEG4,post70_1,1
914,34UEU1,post70_1,1
915,34UEU3,post70_1,1
916,34UEV1,post70_1,1
917,34UEV2,post70_1,1
918,34UEV3,post70_1,1
